meshtastic_mqtt_receiver
date,stream,content
2026/04/14 23:45:04,stdout,🔌 [MQTT-Receiver] [mqtt.meshtastic.org] Соединение закрыто

2026/04/14 23:45:04,stdout,📴 [MQTT-Receiver] [mqtt.meshtastic.org] Оффлайн

2026/04/14 23:45:04,stderr,❌ [MQTT-Receiver] [mqtt.meshtastic.org] MQTT ошибка: Keepalive timeout

2026/04/14 23:45:03,stdout,🔌 [MQTT-Receiver] [mqtt.mess.host] Соединение закрыто

2026/04/14 23:45:03,stderr,❌ [MQTT-Receiver] [mqtt.mess.host] MQTT ошибка: getaddrinfo ENOTFOUND mqtt.mess.host

2026/04/14 23:45:03,stdout,🔄 [MQTT-Receiver] [mqtt.mess.host] Переподключение... (попытка 15)

2026/04/14 23:45:03,stdout,🔌 [MQTT-Receiver] [mqtt.pa8f.nl] Соединение закрыто

2026/04/14 23:45:03,stderr,❌ [MQTT-Receiver] [mqtt.pa8f.nl] MQTT ошибка: getaddrinfo ENOTFOUND mqtt.pa8f.nl

2026/04/14 23:45:03,stdout,🔄 [MQTT-Receiver] [mqtt.pa8f.nl] Переподключение... (попытка 15)

2026/04/14 23:45:02,stdout,🔌 [MQTT-Receiver] [mqtt.meshnet.nl] Соединение закрыто

2026/04/14 23:45:02,stderr,❌ [MQTT-Receiver] [mqtt.meshnet.nl] MQTT ошибка: connect ECONNREFUSED 127.0.0.1:1883

2026/04/14 23:45:02,stdout,🔄 [MQTT-Receiver] [mqtt.meshnet.nl] Переподключение... (попытка 15)

2026/04/14 23:44:33,stdout,🔌 [MQTT-Receiver] [mqtt.mess.host] Соединение закрыто

2026/04/14 23:44:33,stderr,❌ [MQTT-Receiver] [mqtt.mess.host] MQTT ошибка: getaddrinfo ENOTFOUND mqtt.mess.host

2026/04/14 23:44:33,stdout,🔄 [MQTT-Receiver] [mqtt.mess.host] Переподключение... (попытка 14)

2026/04/14 23:44:33,stderr,❌ [MQTT-Receiver] [mqtt.pa8f.nl] MQTT ошибка: getaddrinfo ENOTFOUND mqtt.pa8f.nl

2026/04/14 23:44:33,stdout,🔌 [MQTT-Receiver] [mqtt.pa8f.nl] Соединение закрыто

2026/04/14 23:44:33,stdout,🔄 [MQTT-Receiver] [mqtt.pa8f.nl] Переподключение... (попытка 14)

2026/04/14 23:44:32,stderr,❌ [MQTT-Receiver] [mqtt.meshnet.nl] MQTT ошибка: connect ECONNREFUSED 127.0.0.1:1883

2026/04/14 23:44:32,stdout,🔌 [MQTT-Receiver] [mqtt.meshnet.nl] Соединение закрыто

2026/04/14 23:44:32,stdout,🔄 [MQTT-Receiver] [mqtt.meshnet.nl] Переподключение... (попытка 14)

2026/04/14 23:44:03,stdout,🔌 [MQTT-Receiver] [mqtt.mess.host] Соединение закрыто

2026/04/14 23:44:03,stderr,❌ [MQTT-Receiver] [mqtt.mess.host] MQTT ошибка: getaddrinfo ENOTFOUND mqtt.mess.host

2026/04/14 23:44:03,stderr,❌ [MQTT-Receiver] [mqtt.pa8f.nl] MQTT ошибка: getaddrinfo ENOTFOUND mqtt.pa8f.nl

2026/04/14 23:44:03,stdout,🔌 [MQTT-Receiver] [mqtt.pa8f.nl] Соединение закрыто

2026/04/14 23:44:02,stdout,🔄 [MQTT-Receiver] [mqtt.mess.host] Переподключение... (попытка 13)

2026/04/14 23:44:02,stdout,🔄 [MQTT-Receiver] [mqtt.pa8f.nl] Переподключение... (попытка 13)

2026/04/14 23:44:02,stdout,🔌 [MQTT-Receiver] [mqtt.meshnet.nl] Соединение закрыто

2026/04/14 23:44:02,stderr,❌ [MQTT-Receiver] [mqtt.meshnet.nl] MQTT ошибка: connect ECONNREFUSED 127.0.0.1:1883

2026/04/14 23:44:02,stdout,🔄 [MQTT-Receiver] [mqtt.meshnet.nl] Переподключение... (попытка 13)

2026/04/14 23:43:40,stdout,📨 Sending message to Telegram channel -1001907680082

2026/04/14 23:43:40,stdout,"🔍 Getting gateway info for: !deadc0de, !bba833f4, !efffff01, !efffff03, !efffff02, !f98db090
"
2026/04/14 23:43:34,stdout,📡 [MQTT-Receiver] [mqtt.meshtastic.org] Подписан на 9 топиков

2026/04/14 23:43:34,stdout,✅ [MQTT-Receiver] [mqtt.meshtastic.org] Подключен

2026/04/14 23:43:33,stdout,🔄 [MQTT-Receiver] [mqtt.meshtastic.org] Переподключение... (попытка 1)

2026/04/14 23:43:32,stderr,❌ [MQTT-Receiver] [mqtt.mess.host] MQTT ошибка: getaddrinfo ENOTFOUND mqtt.mess.host

2026/04/14 23:43:32,stdout,🔌 [MQTT-Receiver] [mqtt.mess.host] Соединение закрыто

2026/04/14 23:43:32,stdout,🔄 [MQTT-Receiver] [mqtt.mess.host] Переподключение... (попытка 12)

2026/04/14 23:43:32,stdout,🔌 [MQTT-Receiver] [mqtt.pa8f.nl] Соединение закрыто

2026/04/14 23:43:32,stderr,❌ [MQTT-Receiver] [mqtt.pa8f.nl] MQTT ошибка: getaddrinfo ENOTFOUND mqtt.pa8f.nl

2026/04/14 23:43:32,stdout,🔄 [MQTT-Receiver] [mqtt.pa8f.nl] Переподключение... (попытка 12)

2026/04/14 23:43:32,stdout,🔌 [MQTT-Receiver] [mqtt.meshnet.nl] Соединение закрыто

2026/04/14 23:43:32,stderr,❌ [MQTT-Receiver] [mqtt.meshnet.nl] MQTT ошибка: connect ECONNREFUSED 127.0.0.1:1883

2026/04/14 23:43:32,stdout,🔄 [MQTT-Receiver] [mqtt.meshnet.nl] Переподключение... (попытка 12)

